cell_id,population,gene_0,gene_1,gene_2,gene_3
25,pop_0,3.5574349879198386,2.429272869616068,3.0501646821391284,2.562930939013376
26,pop_0,2.9808548435879825,3.4517780635238027,3.6006788511890258,2.662567924656608
27,pop_0,3.731255655698896,1.9357363918495984,3.497265510103004,2.4958679965348516
28,pop_0,3.5369671610435454,2.5808388918334835,3.0033542515918366,3.348310523500421
29,pop_0,2.9111845513593724,3.333530493007859,3.12118876559033,2.5246652531635356
40025,pop_1,3.124604441318237,2.915319107318355,3.6180212093823325,3.500925546971413
40026,pop_1,3.741641115326244,3.1037966401593495,3.020746827663409,3.5437520029617966
40027,pop_1,3.131761742857703,3.247841701490627,2.6195041253209728,2.9981634007270723
40028,pop_1,3.0770314983371385,3.0879657360724684,2.8334454962973488,3.06391164989776
40029,pop_1,3.6199992548264026,3.59717016167402,3.1247489805764417,3.150139829120145
50025,pop_2,3.710715008154491,2.841925433342946,2.7597699896422045,2.392487932298949
50026,pop_2,3.123438130380335,2.6131485426756647,2.941273913735498,2.7802528836905416
50027,pop_2,3.1715881321077144,2.606947006348711,3.2347896023946285,2.521260527152875
50028,pop_2,2.6385076111471153,2.8899288792252493,3.7172538304119804,2.970320351268487
50029,pop_2,2.8928061411333457,2.952393253360733,3.2302208376901933,1.9080575305405876
60025,pop_3,3.2653404642648836,4.187042053433691,2.6328721376984783,2.3960700463008804
60026,pop_3,3.2855262002627548,2.5653525133262955,2.5191370047801196,3.533213585762791
60027,pop_3,2.6376901618193345,3.2981779322926523,3.2767355378123386,3.326433030793233
60028,pop_3,2.878324984328468,3.0010909415947187,2.6213946652404343,3.2979010082862157
60029,pop_3,2.940052189070533,2.7489754839183544,3.209256563953958,2.97081552079471
70025,pop_4,3.3343867559555926,2.669004092911293,3.707601647029508,2.3205099361085373
70026,pop_4,3.0207310016008395,1.8996603721573304,3.5609765714787907,2.505480005574541
70027,pop_4,3.142244855220947,2.9021114918159423,3.1177211609407216,2.257973094426608
70028,pop_4,3.4578155960129755,2.2533245309953154,2.5238849882902117,2.5446271630709156
70029,pop_4,3.06640790588596,2.5420761520183848,3.1966989157401113,2.3796850780113967
