cell_id,population,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5
0,pop_0,3.7153532590064473,2.4974190453236895,2.579816703926543,2.5320905732078196,2.5996715048420906,3.037584400877914
1,pop_0,3.168364914607146,2.8512666300355836,3.1730996023529747,2.643335036682874,2.7536546347942727,2.8576890412924056
2,pop_0,3.5545401013323628,2.742448375417343,3.2187102342994103,2.819346543675451,3.1245768646648755,3.0985714757336424
3,pop_0,3.1888541262381676,3.6655033355678346,3.046838129863311,2.748189883071553,3.0258790403465086,2.672369005626663
4,pop_0,3.0000532268610716,2.932501265855315,2.7939284499144734,2.7632458019407715,2.9611967193318125,2.7844252996064536
5,pop_0,3.6026418266130706,2.6698858720563066,3.097632464673429,3.1865733936482643,2.9801402354099134,3.226269656325718
6,pop_0,3.3011883142526135,2.8513062593462077,2.736061399563235,2.619232718260137,2.924105650633135,2.7981121246908525
7,pop_0,3.554465495819873,3.0417329448748873,3.119137196615853,2.8777689034178233,2.9416066674172074,2.817726626501156
8,pop_0,3.45675210908912,2.846313062136816,3.2323913926403507,2.487323588743474,2.9911140324681402,2.4308095894047104
9,pop_0,3.5490959561349014,2.832513461950291,2.8991819117586073,2.7689780963056863,2.8717171790632383,2.83294220893299
10,pop_0,3.3489779593665805,2.625598075074372,3.3718315868914623,2.6614037421695222,3.3809712861338976,2.828430165773333
11,pop_0,3.3931669918911322,3.087073550008829,3.118457884792773,2.5399495975165354,2.8864547062081853,2.914589974815169
12,pop_0,3.7126943189336266,2.6571540080454628,3.1724332616823436,2.5992797940758945,3.303911343979558,2.8648322772981176
13,pop_0,3.7170616001353065,2.4884194373209634,3.182684091714897,2.7141180265509615,3.150985153575911,3.082632384950761
14,pop_0,3.808338257756757,2.576096054197168,2.592711040409999,1.9700817556556434,2.7056375803235366,2.8795858793964033
15,pop_0,3.6443249511823423,2.8231479885750193,3.1197493285012947,2.8928958320895584,3.4116991205488136,2.7170386774795623
16,pop_0,3.578946050478655,3.0552292641340273,3.0642066253498323,2.8366690647738535,2.674756169690111,3.1258672551880347
17,pop_0,3.4127689133831014,2.6380630609637503,2.1593329822213647,3.1886468271749013,3.4656352640460515,2.8907592019389456
18,pop_0,4.02104443627697,2.1294927973443585,3.4282595787528125,2.3826163344615616,3.1229523614464862,2.601890336923832
19,pop_0,3.8705564019661325,2.555620884946583,3.4469670499799694,2.7718915136770073,2.4676830301266555,2.9663034671771245
20,pop_0,3.71019331483925,2.628039662065123,3.480292921016007,3.013310984863759,3.387153040041169,2.517027004903794
21,pop_0,3.03595874237504,2.907149679418553,2.9144062430095143,2.560092062010038,3.0498306075235035,2.6531341530778407
22,pop_0,3.54237160192284,2.8354846259128257,2.9954698219533675,2.727449355229716,3.3418802378191437,2.877734152731377
23,pop_0,3.8068380580682115,2.98900687993055,2.9634243539515466,2.5864385072719775,3.017424780051353,2.695485169654369
24,pop_0,3.5582055010782874,3.530541067897062,3.122747972355482,3.6364709201057925,3.478361137264647,3.0102643485145397
25,pop_0,3.304630214182302,3.1209435583862284,3.607126894322855,2.9265700516818898,3.04271164276766,3.185120922561745
26,pop_0,3.5716976431766985,2.6118772359923006,3.407952344163039,2.0307516892871225,3.0364346725772107,2.555312392449166
27,pop_0,3.7424826953249797,2.8285793933406196,3.3641659275017717,2.391154169832584,2.965525802460157,2.4127089018856682
28,pop_0,3.2668873726614853,3.224920514570275,2.7497924514949696,2.452877579122366,2.713749949268326,2.9985788598837795
29,pop_0,3.155525683641563,3.7904159897685274,3.3885791237522787,3.052055473744854,3.235667124903245,2.9807752459034775
30,pop_0,3.667170765324148,2.8669122742052306,2.8620757165830604,2.8394549664785913,2.8751413156529018,3.2049287416203027
31,pop_0,4.067633297208942,2.6174799455925624,2.4420738713558916,2.7574552761636077,3.0339877945570635,2.7555430636148768
32,pop_0,3.2905319515118228,3.1154785233141977,2.7061019491551015,3.091256760133983,3.543429178814998,2.0336271983029564
33,pop_0,3.9793232541219914,2.4570841734988584,3.1703075955604056,2.359018899507013,2.4691431171224854,2.9458843976916462
34,pop_0,3.4242851669447245,2.9416678032699015,3.203215339170899,2.5837045465941593,2.693169033203268,3.0586481644199
35,pop_0,3.6399225998627434,2.7245712599977128,3.2968945831955287,3.0647893311688197,3.2367100156521116,2.9083496871712553
36,pop_0,3.2043148670968518,3.0462747322745436,2.734502531178175,2.8262340187420354,2.82802703005434,3.02127581193576
37,pop_0,3.3255222605381003,2.772303745938141,3.3179374117514864,2.6134532400432473,3.314909956116264,2.3893425129377004
38,pop_0,3.546885312086746,3.285410588760023,2.9708294724046302,2.882864532731829,3.0499337789517686,2.792669548180562
39,pop_0,3.4400430562562145,2.682160455769395,3.178696427153363,2.642299303187918,2.988062964526258,2.9950014224846053
40,pop_0,3.0645589344527164,3.0450883813536764,2.938601607430615,2.4699812881629644,2.510524135591641,3.2815701374459945
41,pop_0,3.7275876302086655,2.738841638423063,3.2153981439402735,3.207224616097582,3.4938378452613614,2.396297743518107
42,pop_0,3.41077540551369,3.551593168005851,3.1862844419023086,3.153554018405478,3.081724068393515,2.681360673180142
43,pop_0,3.2847945398263523,2.529522008254455,2.856915446141212,2.7818754011907867,3.2373071452247464,2.937367840762226
44,pop_0,3.526925295382358,2.9612839473415526,2.7273480248637574,3.099790587659134,2.8961878684291196,2.5465914136653875
45,pop_0,3.245801175557266,3.074568310540978,2.2587915821085254,2.8063057569765277,3.3834487832698334,2.8811865067698332
46,pop_0,3.3353321445206348,3.229118751786829,2.947202957328259,2.4476412487438988,2.7719550967800197,2.742734926187963
