cell_id,population,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5
0,pop_0,3.7371778458374276,2.775164169364262,3.4785459821040168,2.4661285475034256,2.8096855013031337,3.3666511536207238
1,pop_0,4.112322435974868,2.9566225546343214,3.141658198601623,3.2385267142884797,3.2959649343537047,2.872347210283448
2,pop_0,3.5707558375072685,2.916614164548158,3.4320529825799504,2.739963953643313,3.49837305391748,3.5479956242180815
3,pop_0,3.65531786063407,3.497047323997884,3.4438384453529696,2.7982221323479695,3.1286721834803806,3.144233137077532
4,pop_0,3.641620639530027,3.206765248902159,3.341195367065885,2.7838277136843956,3.2990964300326295,2.801424924450946
5,pop_0,3.4839720980329503,2.911236784448413,3.3934221716086888,2.573020581810838,2.84044165718891,3.014630851687049
6,pop_0,3.9295938014222895,2.9295782907788745,2.3485134621669297,2.9747191479263835,3.1077739886108087,3.163380591242437
7,pop_0,3.809506924294178,2.381772215997977,3.7309168666566723,2.731191342760429,2.95659190351344,3.4449205909635854
8,pop_0,3.7183319781560957,3.1942613478442667,3.88866392673125,2.0165604477599435,2.718922665055037,3.546421503386311
9,pop_0,3.7303074679019987,2.7056222027558703,3.2619824734843066,2.427341232031317,2.7184098332741917,3.0957721551113533
10,pop_0,4.044308670804401,3.0816317711912573,3.3821939545452584,2.6497737416270817,3.1464396467720444,2.908077294335891
11,pop_0,3.63113047526594,3.5577237566718556,3.1219988963735106,3.286723593863434,3.138977463434845,3.440348870892539
12,pop_0,3.8149006514295474,3.0579529749829786,3.4215763536980823,2.915998910439709,3.141141403498858,3.3052087812396054
13,pop_0,3.7066756712497333,3.162357343726957,3.5550431611593907,3.5696122082982886,3.70210249071873,2.9333912763200676
14,pop_0,3.6978050205409803,2.646247848364471,3.09584195728088,2.625511720945242,2.9622987342496048,3.274782080284735
15,pop_0,3.643646485556185,2.800652218516815,2.665825529857685,3.3356987525441224,3.5081784344711595,3.6629855952463886
16,pop_0,3.7034622775616426,3.334956342075515,3.031462118107023,3.2283586811903096,3.1262332260807737,3.5589089043618216
17,pop_0,4.111376789741992,2.8657362334039242,3.7103095719779646,2.5116800440754807,3.3770094194074933,3.2221077142409205
18,pop_0,3.6688260198845084,3.0943947197594657,3.8412914319091698,3.1232717996917794,2.9807340046015702,2.9996523011336045
19,pop_0,3.7416332846874334,3.0278904963451,3.207750956192831,3.0519633659835748,2.9401217101836687,3.3704784400393684
20,pop_0,3.7157810768042294,3.0801529387740905,3.354349012284102,3.1460659107106297,3.312986565108609,2.9269706208031985
