cell_id,population,gene_0,gene_1,gene_2,gene_3
0,pop_0,3.263970142068723,2.474925786936938,3.371863460079233,2.88587184707811
1,pop_0,3.5962823837697133,2.5149812834450613,3.6163925957472927,2.5178312603125494
2,pop_0,3.5852938230103573,2.4751474910642797,3.062904817626294,2.5470678102859803
3,pop_0,3.70235275911078,2.3896092359753296,3.4011531260896435,2.341332339125212
4,pop_0,3.1729897862051053,2.6681140101276912,2.736484783616761,2.6014175441964253
5,pop_0,3.178826344141822,2.9125610502899844,3.509643071216639,2.9533652170264104
6,pop_0,3.5066163532185537,2.6198165869943524,3.7122164837257388,2.731558420228434
7,pop_0,3.3643297036269164,2.9392319717790287,2.855230098040289,2.682036191811309
8,pop_0,3.4475234883446433,2.404489544775955,3.0119266978890122,2.9444061206595062
9,pop_0,3.6420783423130856,2.3991529813188666,3.7313728035449176,2.2669801596097194
10,pop_0,3.620024518876044,2.5691412953029404,3.9742807439237486,2.5306331806021385
11,pop_0,3.3191375105545484,2.4503325484539205,3.0962729131474243,2.184897164538579
12,pop_0,3.1517361094894616,2.679523180292268,3.3304868154126908,2.852197627545617
13,pop_0,3.550842730817401,2.3845764843934925,2.980117282350499,2.4790587339144694
14,pop_0,3.4798381970294012,2.876648571915078,3.219580081074475,2.838954137270607
15,pop_0,3.3293222951319494,2.6351592500969185,3.4074844501087203,3.2932924544597
16,pop_0,3.289331263943596,2.8019591042234517,2.9612349188098337,2.5851940273054783
17,pop_0,3.5766530965595256,2.656653239930957,3.1977386433117125,2.6318077656587033
18,pop_0,3.23480729512721,2.644702398341162,3.004079891458864,2.9960801137966246
19,pop_0,3.294530043882993,2.5714205526036356,3.0563219469314684,2.9593712700052373
20,pop_0,3.6445761307574216,2.782671591375498,3.1520408633619623,2.747624836477579
21,pop_0,3.653104628645197,2.7460800937196645,3.0113484434762796,2.89045095009094
22,pop_0,3.0317574958829776,2.697048790740834,3.5377201062552803,2.3187798919916767
23,pop_0,3.239536205246021,2.451183052762805,3.364871947706013,2.2979759641011217
24,pop_0,3.25945284399935,2.3534113191595774,3.2986630726646915,2.8158166591624263
25,pop_0,3.7637469324349144,2.6989126345251737,2.9652423657184674,2.750967387199544
26,pop_0,3.0717914053348507,2.7320439101963316,2.9975318662186945,2.56460051734066
27,pop_0,3.6220442869625575,2.7707234779950123,3.5170043835314213,2.346174242051948
28,pop_0,3.450977905733585,2.529520627182632,3.31684924985346,2.5208145409962133
29,pop_0,3.3918321121597903,2.747994732868024,3.604393523012041,2.562146546524411
